country|rating|song|artist
USA Singles|17|One Kiss|Calvin Harris & Dua Lipa
USA Singles|18|Love Lies|Khalid & Normani
USA Singles|19|Don't Matter To Me|Drake & Michael Jackson
USA Singles|20|Get Along|Kenny Chesney
Ukraine|1|Solo|Clean Bandit & Demi Lovato
Ukraine|2|One Kiss|Calvin Harris & Dua Lipa
Ukraine|3|Flames|David Guetta & Sia
Ukraine|4|In My Mind|Dynoro & Gigi D'Agostino
Ukraine|5|Ona|Gradusi
Ukraine|6|Better Now|Post Malone
Ukraine|7|Drunk Groove|Maruv & Boosin
Ukraine|8|Hands Up|Merk & Kremont
Ukraine|9|Medina|Jah Khalib
Ukraine|10|Friends|Marshmello & Anne-Marie
Ukraine|11|Breathe|Jax Jones & Ina Wroldsen
Ukraine|12|Day By Day|Swanky Tunes & LP
Ukraine|13|DJ Is Your Second Name|C-Bool & Giang Pham
Ukraine|14|In My Feelings|Drake
Ukraine|15|DNK|Dzhigan & Artem Kacher
Ukraine|16|Magic|Tim3bomb & Tim Schou
Ukraine|17|La Cintura|Alvaro Soler
Ukraine|18|Trust Me|L. B. One & Laenz
Ukraine|19|Ne Modnye|Elena Temnikova
Ukraine|20|Back To Me|Vanotek & Eneli
